Approval State,Cinchy Id,Sector Name,Sector Group English,Sector Group French,Factset Level
"Approved",1,"[Cash]","Cash","Liquidités","1 - Group"
"Approved",2,"[Unassigned]","Other","Autre","4 - Group"
"Approved",3,"Alate I LP, Restricted","Alternatives","Alternatives","5 - Group"
"Approved",4,"Alternatives","Alternatives","Alternatives","2 - Group"
"Approved",5,"Avenue Europe Special Situations Fund V (U.S.), L.P.","Alternatives","Alternatives","5 - Group"
"Approved",6,"Axia U.S. Grocery Net Lease Fund I LP, Restricted","Alternatives","Alternatives","5 - Group"
"Approved",7,"Cash & Equivalents","Cash","Liquidités","2 - Group"
"Approved",8,"CI Adams Street Global Private Markets Fund (Class I)","Alternatives","Alternatives","5 - Group"
"Approved",9,"CI Lawrence Park Alternative Investment Grade Credit Fund","Alternatives","Alternatives","1 - Group"
"Approved",10,"CI PM Growth Fund BL LP (Series I)","Alternatives","Alternatives","5 - Group"
"Approved",11,"CI Private Markets Growth Fund I","Alternatives","Alternatives","5 - Group"
"Approved",12,"Communication Services","Communication Services","Services de communications","4 - Group"
"Approved",13,"Consumer Discretionary","Consumer Discretionary","Biens de consommation discrétionnaires","4 - Group"
"Approved",14,"Consumer Staples","Consumer Staples","Biens de consommation de base","4 - Group"
"Approved",15,"Currency Forwards","Other","Autre","2 - Group"
"Approved",16,"Derivatives","Other","Autre","2 - Group"
"Approved",17,"Energy","Energy","Énergie","4 - Group"
"Approved",18,"FDS OUTLIER","Other","Autre","2 - Group"
"Approved",19,"Financials","Financials","Services financiers","4 - Group"
"Approved",20,"Government","Government Bond","Obligations d’État","3 - Group"
"Approved",21,"HarbourVest Adelaide Feeder E LP","Alternatives","Alternatives","5 - Group"
"Approved",22,"HarbourVest Adelaide Feeder F LP","Alternatives","Alternatives","5 - Group"
"Approved",23,"HarbourVest Adelaide Feeder G LP","Alternatives","Alternatives","5 - Group"
"Approved",24,"HarbourVest Infrastructure Income Cayman Parallel Partnership L.","Alternatives","Alternatives","5 - Group"
"Approved",25,"Health Care","Health Care","Soins de santé","4 - Group"
"Approved",26,"High Yield","High Yield Bond","Obligations à haut rendement","4 - Group"
"Approved",27,"Industrials","Industrials","Industries","4 - Group"
"Approved",28,"Information Technology","Information Technology","Technologies de l’information","4 - Group"
"Approved",29,"Institutional Fiduciary Tr Money Mkt Ptf","Cash","Liquidités","5 - Group"
"Approved",30,"Investment Grade","Investment Grade Bond","Obligations de catégorie investissement","4 - Group"
"Approved",31,"Materials","Materials","Matières premières","4 - Group"
"Approved",32,"Monarch Capital Partners Offshore VI LP","Alternatives","Alternatives","5 - Group"
"Approved",33,"MSILF PRIME PORTFOLIO-INST","Cash","Liquidités","5 - Group"
"Approved",34,"Not Rated","Not Rated","Aucune","4 - Group"
"Approved",35,"Preferred","Other","Autre","2 - Group"
"Approved",36,"Real Estate","Real Estate","Immobilier","4 - Group"
"Approved",37,"T.RX Capital Fund I, LP.","Alternatives","Alternatives","5 - Group"
"Approved",38,"Utilities","Utilities","Services publics","4 - Group"
"Approved",39,"Whitehorse Liquidity Partners V LP","Alternatives","Alternatives","5 - Group"
